Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Department of Pathology and Molecular Medicine; Queen's University,Assertion criteria,110,110,2,"Aug 04, 2017",506188,United States,USA
Génétique et pathophysiologie de maladies neurodéveloppementales et épileptogènes; Institut de génétique et de biologie moléculaire et cellulaire (IGBMC),-,109,109,81,"Jul 17, 2015",505483,France,FRA
University Children's Hospital; University of Zurich,Assertion criteria,109,109,3,"Apr 18, 2017",505382,United States,USA
Diasio Lab; Mayo Clinic,-,107,0,5,"Oct 27, 2009",500223,United States,USA
Genomic Medicine Lab; University of California San Francisco,Assertion criteria,106,106,94,"May 13, 2020",506696,United States,USA
Department of Pediatrics; Gifu University,Assertion criteria,106,106,2,"May 12, 2019",506989,Japan,JPN
Wellcome Centre for Mitochondrial Research; Newcastle University,Assertion criteria,104,104,49,"Feb 10, 2020",504862,United Kingdom,GBR
Diagnostics Division; Centre for DNA Fingerprinting and Diagnostics,Assertion criteria,104,104,74,"Jul 22, 2020",505641,India,IND
Medical Cytogenetics and Molecular Genetics Laboratory; IRCCS Istituto Auxologico Italiano,Assertion criteria,102,102,684,"Jun 11, 2020",506607,Italy,ITA
Department of Medical Sciences; Uppsala University,-,102,102,7,"Apr 22, 2017",506194,Sweden,SWE
ClinGen Inherited Cardiomyopathy Variant Curation Expert Panel,Expert panel,102,102,2,"Feb 25, 2019",506161,United States,USA
CHU Sainte-Justine Research Center; Université de Montréal,Assertion criteria,100,100,29,"Aug 06, 2019",505306,Canada,CAN
Kariminejad - Najmabadi Pathology & Genetics Center,Assertion criteria,100,100,88,"Mar 09, 2020",506221,"Iran, Islamic Republic of",IRN
"Myelin Disorders Clinic-Children's Medical Center/Medical Genetics Lab-Tarbiat Modares University; Children's Medical Center, Pediatrics Center of Excellence,",-,100,100,76,"Sep 04, 2020",507127,"Iran, Islamic Republic of",IRN
Natera Inc,-,99,99,36,"Jun 10, 2019",507050,United States,USA
Harris Lab,-,99,0,13,"May 01, 2012",500237,United States,USA
Cancer Genetics Laboratory; Peter MacCallum Cancer Centre,Assertion criteria,96,96,1,"Aug 13, 2015",505793,Australia,AUS
Geschwind lab; University of California Los Angeles,Assertion criteria,95,95,178,"Jun 13, 2016",505819,United States,USA
Diagnostics Lab (ASPIRE); CSIR - Centre for Cellular and Molecular Biology,Assertion criteria,93,93,85,"Sep 15, 2020",507246,India,IND
A.C.Camargo Cancer Center / LGBM; A.C.Camargo Cancer Center,Assertion criteria,92,92,7,"Feb 11, 2019",506010,Brazil,BRA
Albrecht-Kossel-Institute; Medical University Rostock,-,92,92,2,"Sep 23, 2015",505567,Germany,DEU
Shenzhen Institute of Pediatrics; Shenzhen Children’s Hospital,Assertion criteria,91,91,65,"Jul 26, 2018",504869,China,CHN
Department of Molecular and Human Genetics; Baylor College of Medicine,Assertion criteria,89,89,222,"May 20, 2020",505316,United States,USA
Diagnostic Laboratory; Strasbourg University Hospital,Assertion criteria,88,88,40,"Apr 30, 2020",505818,France,FRA
Institute of Medical Genetics and Genomics; Sir Ganga Ram Hospital,Assertion criteria,88,88,16,"Sep 21, 2017",217613,India,IND
Centre for Genomic and Experimental Medicine; University of Edinburgh,Assertion criteria,86,86,27,"May 27, 2020",505630,United Kingdom,GBR
Clinical Genomics Program; Stanford Medicine,-,86,86,80,"Aug 27, 2020",507411,United States,USA
Laboratory of Medical Genetics; National & Kapodistrian University of Athens,Assertion criteria,85,85,65,"Mar 27, 2020",506664,Greece,GRC
Institute of Human Genetics; Polish Academy of Sciences,-,85,85,88,"Dec 17, 2018",506535,Poland,POL
MutSpliceDB: a database of splice sites variants effects on splicing; NIH,-,85,0,28,"Sep 11, 2020",506814,United States,USA
The Laboratory of Genetics and Metabolism; Hunan Children’s Hospital,Assertion criteria,84,84,5,"Dec 16, 2019",507019,China,CHN
Cirak Lab; University Hospital Cologne,Assertion criteria,84,84,48,"Apr 09, 2020",506263,Germany,DEU
International Pleuropulmonary Blastoma Registry; Children's Hospitals and Clinics of Minnesota,Assertion criteria,83,83,1,"Dec 01, 2014",505935,United States,USA
Donald Williams Parsons Laboratory; Baylor College of Medicine,Assertion criteria,83,83,65,"Aug 18, 2016",505863,United States,USA
SingHealth Duke-NUS Institute of Precision Medicine; SingHealth,-,82,82,50,"Apr 09, 2018",506534,Singapore,SGP
ClinGen Lysosomal Storage Disorder Variant Curation Expert Panel; ClinGen,Expert Panel,82,82,2,"May 29, 2020",507522,United States,USA
Section on Medical Neuroendocrinolgy; National Institutes of Health,-,80,80,3,"Jul 10, 2017",506190,United States,USA
Laboratory of Prof. Karen Avraham; Tel Aviv University,Assertion criteria,80,80,38,"Mar 08, 2020",505713,Israel,ISR
Dept. of Genetics and Pharmacogenomics; Merck Research Labs,-,79,0,2,"Oct 06, 2014",505332,United States,USA
"Xiao lab, Department of Pathology; Memorial Sloan Kettering Cancer Center",-,79,79,71,"Sep 12, 2019",507116,United States,USA
Eye Genetics Research Group; Children's Medical Research Institute,-,78,78,37,"Jul 22, 2020",500152,Australia,AUS
Laboratory of Medical Genetics; INSERM,Assertion criteria,77,77,23,"Apr 15, 2020",506574,France,FRA
Institute for Human Genetics; University Clinic Freiburg,Assertion criteria,77,77,6,"May 21, 2019",21170,Germany,DEU
Medical Molecular Genetics Department; National Research Center,Assertion criteria,76,76,16,"Jun 12, 2020",505907,Egypt,EGY
Reproductive Development; Murdoch Childrens Research Institute,Assertion criteria,76,76,53,"Jan 14, 2020",506486,Australia,AUS
Centre of Medical Genetics; University of Antwerp,Assertion criteria,76,76,110,"Aug 26, 2020",505486,United States,USA
Center for Genetic Medicine Research; Children's National Medical Center,Assertion criteria,74,74,28,"Jan 25, 2016",505157,United States,USA
Klaassen Lab; Charite University Medicine Berlin,Assertion criteria,74,74,37,"Jul 17, 2019",506935,Germany,DEU
Center for Statistical Genetics; Columbia University,Assertion criteria,71,71,37,"Jun 23, 2020",505853,United States,USA
Inserm U 954 Nutrition-Génétique-Exposition aux risques environnementaux,-,71,48,16,"Aug 14, 2015",500285,France,FRA
Unit for Genetic & Epidemiological Research on Neurological Disorders; Instituto de Investigação e Inovação em Saúde,Assertion criteria,70,70,37,"Mar 10, 2017",506106,Portugal,PRT
Neurogenetics Laboratory - MEYER; AOU Meyer,Assertion criteria,70,70,24,"May 22, 2019",505994,Italy,ITA
Petrovsky National Research Centre of Surgery; The Federal Agency for Scientific Organizations,Assertion criteria,70,70,24,"Mar 06, 2020",505794,Russian Federation,RUS
Leiden Muscular Dystrophy pages (CAV3),-,69,0,2,"Apr 16, 2012",500012,Netherlands,NLD
Genetic Diagnostic Laboratory; University of Pennsylvania School of Medicine,-,68,68,1,"Apr 11, 2014",1224,United States,USA
Center of Medical Genetics and Primary Health Care,Assertion criteria,68,68,26,"Jun 09, 2020",506026,Armenia,ARM
Center of Medical Genetics; Central South University,-,68,68,7,"Mar 26, 2019",506608,China,CHN
"Groupe Hospitalier Pitie Salpetriere, UF Genomique du Developpement; Assistance Publique Hopitaux de Paris",Assertion criteria,67,67,56,"Apr 10, 2020",506058,France,FRA
Laboratory of Molecular Genetics; CHU Rennes,-,67,67,45,"Dec 30, 2016",505806,France,FRA
Cytogenetics and Genomics Laboratory; University of Washington,Assertion criteria,67,67,1237,"Apr 15, 2019",505311,United States,USA
Section for Clinical Neurogenetics; University of Tübingen,-,66,66,41,"Mar 06, 2020",507314,Germany,DEU
Genome Sciences Centre; British Columbia Cancer Agency,-,66,66,328,"Jul 25, 2019",505622,Canada,CAN
Paul Sabatier University EA-4555; Paul Sabatier University,Assertion criteria,65,65,52,"Aug 31, 2017",505636,United States,USA
Erich and Hanna Klessmann Institute for Cardiovascular Research and Development; Heart and Diabetes Center North Rhine-Westphalia,-,65,65,25,"Jun 24, 2016",505841,Germany,DEU
Genologica Medica,Assertion criteria,64,64,2,"Mar 15, 2017",505214,Spain,ESP
Laboratory of Neurogenetics and Neuroinflammation; Institut Imagine,-,63,63,4,"Apr 06, 2020",507341,France,FRA
Laboratory of Metabolic Disorders; Peking University First Hospital,-,63,63,13,"Jan 07, 2020",505591,China,CHN
Neuromuscular Research; Maastricht University Medical Centre,Assertion criteria,62,62,4,"Nov 27, 2019",507320,Netherlands,NLD
"Prostate Cancer Research Center; Institute of Biosciences and Medical Technology, University of Tampere, Finland",-,61,61,65,"Jan 28, 2016",505666,Finland,FIN
Dobyns Lab; Seattle Children's Research Institute,Assertion criteria,60,60,32,"Apr 09, 2019",505533,United States,USA
The Molecular Genetic Diagnosis Center; Children’s Hospital of Fudan University,Assertion criteria,60,60,34,"Mar 04, 2020",506025,China,CHN
National Institute of Sensory Organs; National Hospital Organization Tokyo Medical Center,Assertion criteria,60,60,4,"Oct 30, 2019",506885,Japan,JPN
ClinGen TP53 Variant Curation Expert Panel; ClinGen,Expert Panel,59,59,1,"Sep 11, 2020",507142,United States,USA
Ege University Pediatric Genetics; Ege University,Assertion criteria,59,59,48,"May 19, 2019",506131,Turkey,TUR
Faculté Pluridciplinaire Nador; Université Mohamed Premier,-,58,58,18,"May 06, 2020",507518,Morocco,MAR
Department of Zoology; Govt. MVM College,-,58,58,3,"Aug 13, 2014",505198,India,IND
Molecular Genetics Laboratory; Children's Mercy Hospital and Clinics,Assertion criteria,57,57,2,"May 08, 2015",193071,United States,USA
Service de Biochimie Médicale et Biologie Moléculaire; CHU Clermont-Ferrand,Assertion criteria,55,55,10,"Jul 14, 2020",507283,France,FRA
National Institute on Deafness and Communication Disorders; National Institutes of Health,-,55,55,25,"Aug 21, 2020",505676,United States,USA
ZMPSTE24 homepage - Leiden Muscular Dystrophy pages,-,53,0,1,"Feb 22, 2013",504631,Netherlands,NLD
Uitto Lab; Thomas Jefferson University,Assertion criteria,53,53,12,"Nov 08, 2018",506706,United States,USA
Genetic Testing Lab; Ashok and Rita Patel Institute of Integrated Study and Research in Biotechnology and Allied Sciences,-,52,52,9,"Aug 07, 2020",505833,India,IND
Casey Eye Institute Glaucoma Genetics Lab,-,52,0,1,"Jun 15, 2011",500319,United States,USA
"Department of Human Genetics; Laborarztpraxis Dres. Walther, Weindel und Kollegen",Assertion criteria,52,52,3,"May 08, 2020",506880,Germany,DEU
Ding PR Lab; Sun Yat-sen University Cancer Center,-,52,52,5,"May 07, 2020",507574,China,CHN
Laboratory of Genetic Epidemiology; Research Centre of Medical Genetics,Assertion criteria,51,51,4,"Mar 29, 2017",505460,Russian Federation,RUS
Hereditary Research Laboratory; Bethlehem University,-,50,50,24,"Jul 28, 2016",505778,"Palestine, State of",PSE
Kids Research; The Children's Hospital at Westmead,Assertion criteria,50,50,31,"Mar 08, 2020",506697,Australia,AUS
Division of Medical Genetics; University of Washington,Assertion criteria,50,50,20,"Jul 27, 2020",507302,United States,USA
TIDEX; University of British Columbia,Assertion criteria,50,50,35,"Jul 19, 2019",506168,Canada,CAN
Academic Department of Medical Genetics; University of Cambridge,Assertion criteria,50,50,63,"Apr 23, 2018",500185,United Kingdom,GBR
"Department of Rehabilitation Medicine, Incheon St. Mary’s Hospital; College of Medicine, The Catholic University of Korea",-,49,49,29,"Nov 27, 2019",506870,"Korea, Republic of",KOR
"HerediLab, Inc.",Assertion criteria,49,49,1,"Jul 10, 2019",505673,United States,USA
Laboratoire de Génétique Moléculaire Institut de Recherche Necker Enfants Malades; CHU Paris - Hôpital Necker-Enfants Malades,Assertion criteria,48,48,3,"Apr 23, 2020",506483,France,FRA
Leiden Muscular Dystrophy pages (MYPN); Leiden University Medical Center,-,48,0,1,"Apr 27, 2012",500018,Netherlands,NLD
Sangiuolo Lab - Medical Genetics Laboratory; Tor Vergata University,-,48,48,1,"Jun 19, 2019",507016,Italy,ITA
Wendy Chung Laboratory; Columbia University Medical Center,Assertion criteria,46,46,15,"Sep 06, 2020",506632,United States,USA
Evolutionary and Medical Genetics Lab; Centre for Cellular and Molecular Biology,-,46,46,3,"Dec 16, 2014",505291,India,IND
"Diabetes Molecular Genetics Section, Phoenix Epidemiology and Clinical Research Branch; National Institutes of Health",-,45,45,8,"Oct 27, 2017",506370,United States,USA
Seelig Lab; University of Washington,-,45,0,42,"Nov 27, 2018",506798,United States,USA
Medical Affairs; Enzyvant,Assertion criteria,45,45,1,"Jul 15, 2019",507035,United States,USA
Biochemistry Laboratory of CDMU; Chengde Medical University,Assertion criteria,44,44,1252,"Apr 15, 2019",506974,China,CHN
"Department of Genetics; Rouen University Hospital, Normandy Center for Genomic and Personalized Medicine",Assertion criteria,44,44,26,"Feb 12, 2020",506968,France,FRA
Center for Neuroscience and Cell Biology; University of Coimbra,Assertion criteria,43,43,17,"Dec 30, 2016",505672,United States,USA
McDonnell Genome Institue; Washington University in St Louis,-,43,43,45,"Jan 02, 2018",505640,United States,USA
Laboratory of Translational Genomics,-,42,0,8,"Jan 14, 2011",500269,United States,USA
Courtagen Diagnostics Laboratory; Courtagen Life Sciences,Assertion criteria,42,42,35,"May 28, 2015",320384,United States,USA
University of Sydney Medical Foundation,-,42,0,1,"May 02, 2012",500310,Australia,AUS
Liping Wei Laboratory; Peking University,Assertion criteria,42,42,15,"Aug 03, 2018",506669,China,CHN
Kasturba Medical College; Manipal University,Assertion criteria,42,42,38,"Aug 06, 2020",505991,India,IND
Institute of Human Genetics; University Medical Center Hamburg-Eppendorf,Assertion criteria,41,41,11,"Jan 23, 2019",505251,Germany,DEU
Institute for Human Genetics; University Hospital Essen,Assertion criteria,40,40,6,"Jul 03, 2020",507042,Germany,DEU
Muenke lab; National Institutes of Health,Assertion criteria,40,40,11,"Feb 05, 2019",506075,United States,USA
Department of Laboratory Medicine and Genetics,-,40,40,1,"Dec 08, 2014",506184,Canada,CAN
Division of Hearing and Balance Research; National Hospital Organization Tokyo Medical Center,Assertion criteria,40,40,4,"Mar 24, 2020",506281,Japan,JPN
Department of Human Genetics; University Hospital Magdeburg,Assertion criteria,40,40,17,"Jul 10, 2020",506381,Germany,DEU
"Alexion Pharmaceuticals, Inc",Assertion criteria,39,39,1,"Aug 16, 2019",505957,United States,USA
Genetics Department; Polish Mother's Memorial Hospital Research Institute,Assertion criteria,39,39,19,"Apr 06, 2020",507063,United States,USA
Department of Molecular Diagnostics; Institute of Oncology Ljubljana,Assertion criteria,39,39,18,"Jul 26, 2019",506646,Slovenia,SVN
MyeliNeuroGene Lab; McGill University Health Center Research Institute,Assertion criteria,39,39,5,"Aug 16, 2019",320379,Canada,CAN
Genetics of Learning Disability Service; Hunter Genetics,Assertion criteria,39,39,8,"Oct 11, 2019",505265,Australia,AUS
Department of Medical Genetics; Sanjay Gandhi Post Graduate Institute of Medical Sciences,Assertion criteria,38,38,95,"Aug 08, 2019",505943,India,IND
INSERM U1051; Institut des Neurosciences de Montpellier,Assertion criteria,38,38,18,"Jul 13, 2020",504868,France,FRA
Center for Reproductive Medicine; Shandong Provincial Hospital Affiliated to Shandong University,Assertion criteria,37,37,4,"Sep 08, 2020",506889,China,CHN
Medical Genetics Summaries; National Institutes of Health,Assertion criteria,37,37,14,"Mar 06, 2020",506575,United States,USA
Beijing Key Laboratory for Genetic Research of Skeletal Deformity; Peking Union Medical College Hospital,Assertion criteria,37,37,16,"Apr 16, 2020",506437,China,CHN
Northcott Neuroscience Laboratory; ANZAC Research Institute,-,37,37,15,"Sep 02, 2014",505217,Australia,AUS
Institute of Medical Sciences; Banaras Hindu University,-,37,37,11,"Feb 01, 2020",507417,India,IND
Immunobiology Lab; University of Kashmir,-,35,35,3,"Jul 15, 2015",505484,United States,USA
GenomeConnect-Association for Creatine Deficiencies,-,35,0,17,"Oct 24, 2019",507206,United States,USA
"Molecular Pathology, SA Pathology",Assertion criteria,35,35,7,"Feb 22, 2018",506043,Australia,AUS
Molecular Psychiatry Laboratory; RIKEN,-,35,0,5,"Oct 19, 2014",504814,Japan,JPN
Endocrine Clinic; Seth G. S. Medical College,-,35,34,12,"Jan 01, 2018",500130,India,IND
Pediatric Immunology Service; The Chaim Sheba Medical Center at Tel HaShomer,Assertion criteria,35,35,1,"Mar 11, 2018",506530,Israel,ISR
Molecular Biology Laboratory; University of Basrah,-,34,34,5,"May 01, 2019",506742,Iraq,IRQ
